Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
143,Finance,Male,31,Executive,2015-07-31,2,MBA,3,37978.68,55,25,3,2,100,3,52,1,1.27,False
144,Operations,Female,39,Manager,2021-05-26,5,MBA,4,49421.51,37,18,13,6,25,12,56,1,4.03,False
145,Marketing,Male,30,Analyst,2022-06-02,5,MBA,4,45481.71,60,25,17,5,50,4,71,1,2.6,True
146,Legal,Male,29,Executive,2020-01-21,4,Bachelor,5,54179.6,54,25,18,2,100,8,80,3,2.3,False
147,Operations,Male,30,Associate,2015-04-27,5,Master,4,50576.67,35,18,4,8,75,13,36,3,3.93,True
148,Sales,Female,43,Lead,2022-03-25,6,Bachelor,4,54576.58,50,25,3,5,75,3,59,0,4.05,False
149,Marketing,Female,34,Manager,2020-05-30,10,Master,4,67601.28,60,25,8,10,25,6,27,3,3.46,False
150,Sales,Male,31,Developer,2015-08-25,0,Diploma,3,29647.63,59,25,16,2,75,11,50,0,3.66,False
151,Marketing,Male,22,Executive,2018-11-19,10,Master,3,56047.94,54,25,20,2,50,8,35,1,2.88,False
152,Legal,Male,27,Executive,2023-03-04,5,Master,3,46404.12,36,13,9,3,0,12,28,0,4.65,False
153,Marketing,Male,23,Manager,2019-08-08,4,Master,3,44651.02,59,25,0,1,100,3,10,2,3.06,False
154,HR,Male,21,Executive,2019-10-16,6,Diploma,4,54944.05,59,25,19,6,100,10,68,3,2.04,True
155,IT,Female,26,Analyst,2018-07-04,1,MBA,3,36213.88,49,25,0,7,75,11,48,3,4.42,False
156,Finance,Male,43,Lead,2025-12-02,8,MBA,3,55624.45,49,25,2,4,75,9,43,2,1.28,False
157,HR,Male,38,Manager,2023-11-01,1,Diploma,3,37842.59,51,22,7,0,50,12,31,2,3.4,False
158,Sales,Female,37,Developer,2022-08-19,4,Master,3,42803.56,55,25,0,3,0,13,73,0,4.77,False
159,HR,Female,28,Executive,2017-10-01,2,Bachelor,4,39500.25,44,22,17,10,50,12,56,2,1.18,False
160,Sales,Female,27,Analyst,2019-04-21,3,MBA,4,41657.33,53,24,5,0,100,14,73,3,3.36,True
161,IT,Male,21,Lead,2016-08-01,5,PhD,3,42609.26,45,21,12,0,100,3,33,0,1.47,False
162,HR,Male,36,Lead,2018-11-16,0,MBA,3,36374.83,39,17,7,2,25,9,12,3,3.35,False
163,Legal,Male,29,Executive,2024-06-06,9,Master,4,57121.8,53,25,15,4,25,10,13,2,4.47,False
164,IT,Female,30,Associate,2020-02-12,8,Master,4,59621.84,46,25,17,5,100,8,56,2,3.22,False
165,IT,Female,35,Manager,2023-10-22,10,PhD,3,60770.52,52,25,15,8,50,4,45,0,1.36,False
166,Operations,Female,24,Analyst,2022-04-04,0,Master,4,32377.39,50,19,10,5,0,5,77,1,2.24,False
167,Legal,Female,37,Lead,2024-08-29,1,MBA,3,33890.97,46,23,0,2,0,11,45,2,3.2,False
168,HR,Male,21,Manager,2019-03-01,5,Diploma,4,46741.23,52,22,1,2,25,14,42,1,3.28,False
169,Marketing,Male,22,Lead,2018-05-18,9,Diploma,3,55965.79,49,23,20,9,100,12,6,0,1.28,False
170,Operations,Female,37,Developer,2019-03-24,3,Master,4,48435.44,50,25,19,0,0,5,25,2,2.9,False
171,HR,Female,33,Analyst,2025-06-05,3,PhD,3,43119.6,43,21,20,3,50,9,8,3,1.72,False
172,Marketing,Female,32,Associate,2024-10-20,9,Diploma,3,53450.46,48,25,12,10,0,4,6,2,1.76,False
173,Marketing,Male,21,Associate,2023-01-21,0,Bachelor,2,30525.83,36,16,7,10,50,6,31,3,4.17,False
174,Sales,Female,36,Manager,2022-09-15,10,Diploma,4,65150.62,44,20,4,1,50,12,41,3,3.99,False
175,Legal,Male,39,Associate,2017-01-25,2,PhD,3,37353.57,59,25,20,5,75,4,25,3,1.55,False
176,Marketing,Female,29,Executive,2020-11-16,3,Bachelor,3,38561.82,51,17,13,8,0,7,17,2,2.1,False
177,Operations,Male,28,Analyst,2015-04-07,3,Diploma,3,37203.63,46,25,3,8,0,12,46,3,3.67,False
178,Legal,Female,41,Manager,2016-08-25,9,Bachelor,4,62725.75,40,18,6,8,75,9,57,3,2.43,True
179,Finance,Female,26,Executive,2022-05-03,9,Bachelor,3,54020.66,49,23,0,9,100,7,9,0,3.23,False
180,Legal,Male,21,Analyst,2024-10-29,3,PhD,4,45135.74,52,19,4,3,25,11,46,0,1.71,False
181,Sales,Female,34,Developer,2016-10-26,3,Master,4,43064.73,58,25,11,0,0,3,74,1,2.27,False
182,HR,Male,26,Developer,2025-03-13,8,Diploma,5,63397.35,42,21,6,6,75,12,66,2,4.85,False
183,Legal,Female,35,Analyst,2025-09-02,3,PhD,2,41594.25,58,25,10,6,100,13,16,3,1.26,False
184,Marketing,Male,27,Lead,2020-10-11,8,Diploma,4,54491.25,36,20,12,4,100,10,44,1,1.66,False
185,Marketing,Male,29,Manager,2021-12-08,8,PhD,3,61266.77,40,18,6,7,75,13,27,2,1.55,True
186,HR,Male,28,Developer,2018-03-21,7,PhD,4,54802.43,42,23,5,2,100,7,72,3,2.16,False
187,Marketing,Female,27,Manager,2017-10-23,8,Bachelor,3,55885.6,60,25,10,2,75,9,19,1,1.73,True
188,Finance,Female,31,Analyst,2015-08-02,2,Bachelor,3,31803.51,51,25,13,4,50,12,19,0,3.03,True
189,Operations,Female,40,Executive,2019-08-21,6,MBA,4,53975.14,44,16,10,8,100,6,59,3,4.38,False
190,Finance,Male,25,Executive,2021-01-16,1,MBA,3,34665.51,57,25,6,10,0,5,23,3,2.8,False
191,Finance,Male,33,Analyst,2023-05-22,0,PhD,3,25743.84,51,23,0,3,100,8,42,0,2.64,True
192,Sales,Male,27,Lead,2019-12-03,4,MBA,4,46433.44,45,25,0,3,0,7,28,1,1.33,False
193,Finance,Male,30,Manager,2017-12-19,3,Bachelor,5,46574.97,46,22,9,10,0,13,60,2,1.83,False
194,Legal,Female,36,Analyst,2020-11-28,1,Diploma,3,34187.35,59,25,19,10,75,11,61,2,2.72,False
195,Finance,Male,31,Analyst,2025-06-29,5,MBA,3,50774.84,55,25,5,0,75,12,27,2,3.6,False
196,Marketing,Female,41,Executive,2016-12-01,9,Bachelor,4,62277.69,46,21,4,0,50,9,44,0,4.82,False
197,Operations,Male,22,Lead,2016-03-22,2,MBA,4,34557.84,53,22,12,5,0,8,64,1,1.15,False
198,Operations,Male,21,Executive,2024-06-24,1,PhD,3,31386.51,56,25,20,10,0,6,40,0,4.8,False
199,Operations,Female,29,Analyst,2023-08-06,9,PhD,4,59974.48,38,18,10,6,75,5,23,1,1.3,False
200,Sales,Male,32,Developer,2020-09-20,0,Master,3,33665.28,55,25,4,5,75,8,73,3,3.68,False
201,Legal,Male,37,Manager,2021-11-27,6,PhD,3,49519.01,49,25,2,10,25,10,30,3,4.02,True
202,Legal,Female,27,Developer,2017-08-22,6,Diploma,4,48120.06,58,25,17,2,75,5,73,2,4.22,False
203,HR,Male,30,Associate,2016-09-02,5,Bachelor,4,50241.95,41,19,9,7,100,4,79,3,3.22,False
204,HR,Male,25,Analyst,2025-05-09,4,MBA,4,44880.28,47,25,5,2,0,8,67,2,1.93,False
205,IT,Male,36,Executive,2026-02-12,0,Master,2,27205.31,58,25,17,4,0,11,6,3,2.0,False
206,Marketing,Male,36,Analyst,2018-11-01,9,Diploma,4,55369.65,44,25,15,5,0,14,69,0,3.02,False
207,Finance,Male,32,Associate,2021-12-03,0,PhD,3,26108.5,55,25,16,3,50,10,25,2,4.33,False
208,Legal,Female,30,Analyst,2022-03-12,1,PhD,3,34293.2,39,21,4,1,50,4,19,3,1.32,False
209,Marketing,Female,30,Executive,2025-01-07,9,Master,5,64181.04,39,18,13,2,50,9,60,3,4.22,False
210,Finance,Female,25,Developer,2015-04-16,3,Bachelor,3,41030.5,48,25,9,9,0,3,34,3,2.35,False
211,Finance,Male,21,Associate,2023-03-09,5,MBA,4,50224.68,56,25,3,2,25,9,35,2,3.97,False
212,Marketing,Female,36,Developer,2025-07-07,7,Bachelor,4,53809.11,46,25,18,3,75,4,67,2,2.99,False
213,Operations,Male,33,Associate,2017-11-25,6,Master,3,50525.71,39,16,15,2,25,3,42,2,4.34,True
214,Legal,Male,33,Lead,2025-12-13,10,Bachelor,4,60881.74,51,21,8,1,100,8,34,0,1.87,False
215,Marketing,Female,27,Analyst,2020-08-18,10,Master,4,62607.72,49,24,4,6,75,12,52,0,2.65,False
216,Finance,Male,24,Executive,2025-12-15,2,Master,2,33349.76,38,17,9,5,50,3,20,1,4.18,False
217,HR,Male,35,Executive,2020-01-16,8,Diploma,3,57571.0,43,16,11,9,100,11,21,3,1.01,False
218,Finance,Female,32,Analyst,2015-09-05,7,Diploma,3,48172.04,51,25,7,0,0,8,36,0,4.63,False
219,Marketing,Female,29,Associate,2023-09-26,2,Bachelor,3,30321.74,41,22,14,2,0,11,34,1,1.72,False
220,Marketing,Female,38,Associate,2021-08-19,1,Diploma,4,35572.32,37,15,13,0,50,4,75,1,2.5,False
221,IT,Male,41,Analyst,2022-11-21,8,MBA,5,59991.86,49,25,11,5,0,3,44,0,3.17,True
222,Marketing,Female,40,Manager,2021-11-30,8,PhD,4,53601.29,58,25,10,3,100,4,15,0,3.74,False
223,Legal,Male,28,Manager,2017-03-10,4,MBA,3,42186.25,36,19,5,8,25,9,28,0,1.79,False
224,IT,Male,34,Analyst,2017-07-31,3,Diploma,3,37916.88,56,25,4,9,100,7,25,3,1.8,False
225,Legal,Female,36,Associate,2017-10-25,7,Diploma,4,57925.4,59,25,8,8,25,8,39,2,1.26,False
226,Finance,Male,22,Manager,2024-07-21,2,PhD,4,38280.26,38,17,10,1,75,8,63,1,2.56,False
227,Operations,Male,46,Analyst,2024-10-19,5,Master,3,47443.97,59,21,10,7,100,13,33,1,1.91,False
228,IT,Female,27,Executive,2016-02-20,2,Bachelor,3,42677.1,45,25,13,2,50,11,44,3,4.05,False
229,Operations,Female,36,Executive,2015-05-13,6,MBA,4,48972.52,46,17,1,3,0,10,57,0,3.23,False
230,Finance,Male,35,Developer,2017-01-16,4,Bachelor,3,40271.37,37,24,2,3,75,11,47,0,3.99,True
231,IT,Female,38,Manager,2024-11-05,7,MBA,4,51937.12,39,22,11,0,100,7,56,1,4.69,False
232,HR,Female,30,Developer,2022-01-20,3,PhD,3,35170.54,53,24,17,9,50,14,51,0,1.37,False
233,Sales,Female,25,Analyst,2018-11-02,6,Master,4,46571.29,46,19,16,9,75,5,30,1,4.59,False
234,Legal,Female,31,Developer,2021-04-17,6,MBA,3,49941.38,44,18,4,0,25,11,8,0,2.72,False
235,Finance,Male,32,Manager,2022-07-22,4,Diploma,3,40744.56,40,23,17,9,25,6,31,2,1.11,False
236,HR,Female,24,Developer,2021-07-28,5,Bachelor,4,44197.58,58,25,19,2,0,4,45,0,1.32,False
237,Operations,Female,39,Manager,2015-07-28,1,PhD,3,36164.34,48,25,4,4,25,5,44,2,1.03,False
238,Finance,Female,21,Lead,2015-10-24,8,Bachelor,4,63079.9,42,21,10,6,100,3,29,3,3.37,False
